"Department","Department_Name","Division","Gender","Base Salary","Overtime Pay","Longevity Pay","Grade"
"ZAH","Office of Zoning and Administrative Hearings","ZAH 05 Zoning and Administrative Hearings","M","$142,100",,,"N35"
"ZAH","Office of Zoning and Administrative Hearings","ZAH 05 Zoning and Administrative Hearings","F","$162,000",,,"N35"
"ZAH","Office of Zoning and Administrative Hearings","ZAH 05 Zoning and Administrative Hearings","F","$93,895",,,"N21"
"ZAH","Office of Zoning and Administrative Hearings","ZAH 05 Office of Zoning and Administrative Hearings","F","$77,179.61",,,"N18"
"ZAH","Office of Zoning and Administrative Hearings","ZAH 05 Director","F","$196,631.58",,,
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Strategic Partnerships","F","$171,540",,,"M2"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Strategic Partnerships","M","$163,551",,,"N34"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP MC311 Application Support","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP MC311 Application Support","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP MC311 Application Support","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Low Code Governance and Administration","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Low Code Governance and Administration","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Low Code Governance and Administration","M","$151,684",,,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Low Code Governance and Administration","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Enterprise Services Team","M","$115,908.74",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Enterprise Services Team","M","$135,307.74",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Employee Productivity Services","M","$120,000",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Employee Productivity Services","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Employee Productivity Services","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Employee Productivity Services","F","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Employee Productivity Services","F","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Employee Productivity Services","M","$121,286.27",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Employee Productivity Services","F","$154,469",,,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Web Solutions Team","F","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Web Solutions Team","F","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Web Solutions Team","M","$148,591.51",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Web Solutions Team","M","$154,469",,,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Web Solutions Team","F","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Security and System Admin","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Security and System Admin","M","$148,525.11",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Payroll/Comp/BI","F","$154,469",,,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Payroll/Comp/BI","F","$150,088",,,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Payroll/Comp/BI","F","$148,607",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Payroll/Comp/BI","F","$135,307.74",,,"N30"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Human Capital Management","F","$148,273.7",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Human Capital Management","F","$135,421.09",,,"N30"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Geographic Information System","M","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Geographic Information System","M","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Geographic Information System","M","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Geographic Information System","F","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Geographic Information System","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Geographic Information System","F","$87,495.97",,,"26"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Geographic Information System","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Geographic Information System","F","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Geographic Information System","M","$154,469",,"1,518.2","N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Geographic Information System","F","$96,362.25",,"346.08","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Geographic Information System","M","$69,525.64",,,"23"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Financials","F","$143,021",,,"N30"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Financials","M","$141,467.94",,,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Financials","F","$148,607",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Enterprise Resource Planning","F","$171,534.13",,,"M2"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Digital Transformation","M","$175,000",,,"EX3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Data Services","F","$147,937.89",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Data Services","M","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Data Services","F","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Voice Services","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Voice Services","M","$93,473.91","$64,716.56","5,645.92","20"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Voice Services","M","$89,653","$95,925.64","5,412.96","20"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Voice Services","M","$118,509","$2,239.91",,"26"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Voice Services","M","$89,653","$23,283.78",,"20"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Voice Services","M","$81,770","$10,524.56",,"18"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Telecommunications Solutions","M","$171,398.7",,,"M2"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Telecommunications Services","F","$128,483",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Server Support","M","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Server Support","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Server Support","M","$148,591.51",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Server Support","M","$154,469",,,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Server Support","M","$154,469",,,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Server Support","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Radio Communications Services","M","$81,000","$58.42",,"20"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Radio Communications Services","M","$89,653","$1,159.65","5,412.96","20"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Radio Communications Services","M","$89,653","$3,437.34","2,667.52","20"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Radio Communications Services","M","$89,653","$7,361.6",,"20"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Radio Communications Services","M","$148,531.2",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Radio Communications Services","M","$84,042","$585.6",,"20"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Radio Communications Services","M","$89,653","$8,800.79",,"20"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Public Safety Data Systems","F","$130,167","$6,888.96","2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Public Safety Data Systems","M","$148,607",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Public Safety Data Systems","M","$118,509",,,"26"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Public Safety Data Systems","F","$130,167","$1,215.49",,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Public Safety Data Systems","M","$130,167","$1,126.48",,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Fibernet Operations (GF)","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Fibernet Operations (GF)","M","$154,469","$1,599.88",,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Fibernet Operations (GF)","F","$74,614",,"4,497.76","16"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Fibernet Operations (GF)","F","$74,614",,,"16"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Fibernet Operations (GF)","M","$171,288.47",,,"M2"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP FiberNet Infrastructure","M","$130,167","$15,480.74",,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP FiberNet Infrastructure","M","$105,800.86","$23,043.36",,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP FiberNet Engineering and Operations","F","$131,187",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP FiberNet Engineering and Operations","F","$95,433.04","$2,057.65",,"23"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP FiberNet Engineering and Operations","M","$130,167","$8,402.36",,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP FiberNet Engineering and Operations","M","$123,872.94",,,"N30"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP FiberNet Engineering and Operations","M","$191,726",,,"M1"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Digital Equity","F","$171,540",,,"M2"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Data Center Management","M","$148,607",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Data Center Management","M","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Data Center Management","M","$89,653",,"5,412.96","20"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Data Center Management","M","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Data Center Management","M","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Community Technology","F","$93,747.28","$101.41",,"21"
